IDEN;HOJA;MUNICIPIO;SITIO;NOMBRE;LAT;LON;PROP;CONST;PERF;ENTU;NIVEL;FENIV;GASTO;COTA;ND;DIAM1;REG;DIAM2;PBOMBEO;EPOZO;NORTE;ESTE;ACT_MASTER
FA6876011A;6049;0301;CAPATARIDA;;111040.0;703725.0;ACUERUR;;;;;;;;;;;;;;1236137.67;322708.45;1994-01-18
FA6876012A;6049;0301;CAPATARIDA;;111025.0;703520.0;JOSE L SANCHEZ;85.0;76.6;70.2;21.5;  0385;9.0;;;;;;;;1235656.17;326498.41;1994-01-18
FA7373001C;6152;0801;MIRAFLORES;;120507.0;700200.0;SALVADOR SANCHEZ;;;;;;;;;;;;;;1336211.22;387537.66;1994-01-18
FA7373002C;6152;0801;SAN FRANCISCO;;120400.0;700230.0;DIMAS PETTIT;;;;;;;52.05;;;;;;;1334156.33;386622.79;1994-01-18
FA7373003A;6152;0801;EL MAMON;;120205.0;700245.0;MERCEDES ROMERO;;;;;;;45.65;;;;;;;1330625.1;386155.77;1994-01-18
FA7373004A;6152;0801;EL MAMON;;120200.0;700240.0;MARCEDES ROMERO;;;;;;;47.79;;;;;;;1330470.92;386306.38;1994-01-18
FA7373005C;6152;0801;LOS CUADROS;;120536.0;700004.0;FRANCISCO MIRANDA;;;;;;;13.72;;;;;;;1337089.09;391048.15;1994-01-18
FA7373006C;6251;0801;LAS QUEBRADITAS;;120710.0;700710.0;LUCAS VUALDERRAMA;;;;;;;11.6;;;;;;;1340026.91;378180.23;1994-01-18
FA7373007C;6152;0801;;;120720.0;700400.0;HIGINIO PETTIT;;;;;;;22.28;;;;;;;1340311.12;383925.42;1994-01-18
FA7373008C;6152;0801;;;120730.0;700350.0;HIGINIO PETTIT;;;;;;;26.58;;;;;;;1340617.15;384228.92;1994-01-18
FA7373009A;6152;0801;;;120200.0;700330.0;MERCEDES ROMERO;;;;;;;48.06;;;;;;;1330476.7;384794.34;1994-01-18
FA7373010A;6152;0801;;;120201.0;700320.0;MERCEDES ROMERO;;;;;;;49.87;;;;;;;1330506.26;385096.87;1994-01-18
FA7373011A;6152;0801;LAS QUEJERAS;;120202.0;700318.0;MERCEDES ROMERO;;;;;;;56.9;;;;;;;1330536.75;385157.47;1994-01-18
FA7373012C;6152;0801;GUAYDABACOA;;120240.0;700322.0;MERCEDES ROMERO;;;;;;;63.62;;;;;;;1331704.63;385041.0;1994-01-18
FA6973001C;6150;1205;CAIMANCITO MITARE;;112008.0;700134.0;JUANCHO FUQUET;;;26.4;22.0;  0473;1.0;31.4;;;;;;;1253293.8;388022.35;1994-01-18
FA6974002C;6150;0707;CODORE DE LA PLAYA;;112020.0;701420.0;COMUNIDAD;;;;1.5;  0883;;;;;;;;;1253752.69;364800.79;1994-01-18
FA6971039A;6250;1201;HDA PROCAMPO;;112155.0;694704.0;GARCIA PEREZ;;120.0;120.0;60.0;  0680;;;;;;;;D;1256498.68;414405.62;1994-01-18
FA6971048A;6250;1201;EL CEBOLLAL FCA QDA HONDA;;112235.0;694404.0;APOLINAR ROJAS;579.0;110.0;110.0;45.0;080679;25.0;;;;;12.0;;P;1257713.13;419864.74;1994-01-18
FA6971002A;6250;1201;CORO LLANO GRANDE;;112238.0;694214.0;SUCESION TORRES;981.0;99.0;99.0;34.2;000780;4.0;35.25;;;;8.0;;D;1257797.03;423199.04;1994-01-18
FA6971086A;6250;1201;HTO SANTA LUCIA EL CEBOLLAL;;112048.0;694752.0;MANUEL MARTINEZ A;1080.0;142.8;142.0;73.0;0;5.0;77.54;;;;;;D;1254444.54;412945.03;1994-01-18
FA6971087A;6250;1201;EL CEBOLLAL KM 7;;112242.0;694331.0;JULIO LOPEZ;778.0;98.0;98.0;33.31;;8.0;31.39;;;;;;D;1257925.64;420865.51;1994-01-18
FA6971088A;6250;1201;EL CEBOLLAL ESPIRITU SANTO;;112208.0;694643.0;LUIS ALEMAN;81.0;104.0;94.0;34.0;  0182;14.0;;;;;;;P;1256896.3;415043.23;1994-01-18
