"IDEN";"HOJA";"MUNICIPIO";"SITIO";"NOMBRE";"LAT";"LON";"PROP";"CONST";"PERF";"ENTU";"NIVEL";"FENIV";"GASTO";"COTA";"ND";"DIAM1";"REG";"DIAM2";"PBOMBEO";"EPOZO";"NORTE";"ESTE";"ACT_MASTER"
"CA6261009A";"6546";"0907";"UNIVERSIDAD DE CARABOBO";;"1016";"6800";"UNDAD DE CARABOBO";"1068";"  60.0";"  60.0";"   4.00";"301068";" 20";;"  10.00";;;"  6";;;"1135079.53";" 609514.57";18/1/1994 0:00:00
"CA6263001A";"6546";"0602";"LA TRINIDAD";;"1010";"6823";"IAN";;;;"   6.30";"201070";;" 670.00";;;;"  6";;;"1123916.72";" 567553.09";18/1/1994 0:00:00
"CA6263002A";"6546";"0602";"EL TAÑERO";;"1010";"6825";"FELIPE RUMBO RUIZ";;"  64.0";"  64.0";"   6.53";"081070";"  4";" 670.00";"   8.28";;;;;;"1123909.97";" 563901.45";18/1/1994 0:00:00
"CA6263003A";"6546";"0602";"EL TAÑERO LAS PARRAS";;"1010";"6825";"IAN";;;;"   9.00";"081070";" 10";" 680.00";"  10.00";;;;;;"1123909.97";" 563901.45";18/1/1994 0:00:00
"CA6263017A";"6546";"0602";"EL TAÑERO";;"1010";"6825";"JOSE CHAJIN";"0370";"  39.0";"  39.0";"   1.00";"060370";"  2";;"  20.00";;;;;;"1123909.97";" 563901.45";18/1/1994 0:00:00
"CA6263006A";"6546";"0602";"SABANA ARRIBA";;"1011";"6824";"MAC IAN";"1064";"  57.0";"  57.0";;;;;;;;;;;"1125756.16";" 565723.86";18/1/1994 0:00:00
"CA6159085A";"6646";"0201";"BOCA DE RIO FDO EL HOYITO";;"100537";"674937";"PASCUAL ORLANDO";"  80";" 102.0";" 102.0";"  12.00";"140988";" 12";;"  39.00";" 16";;" 10";;"x";"1116005.74";" 628538.25";18/1/1994 0:00:00
"CA6160154A";"6646";"0201";"FDO ROSANGEL LAS TIAMITAS";;"100519";"675021";"FELIX ORLANDO PEREZ";;;;;"  0988";;;;;;"  8";;;"1115448.03";" 627200.78";18/1/1994 0:00:00
"CA6160156A";"6646";"0201";"FDO OLIVO PARCELA 20";;"100557";"675059";"ALEJANDRO PEREZ";;;;"   1.70";"210988";;" 415.00";;;;;;;"1116611.24";" 626039.88";18/1/1994 0:00:00
"CA6160155A";"6646";"0201";"LAS TIAMITAS PARC LA ESCONDIDA";;"100614";"675119";"JOSE LUIS FUENMAYOR";"  80";"  85.0";"  85.0";;"210988";;;;" 10";;;;;"1117131.32";" 625429.23";18/1/1994 0:00:00
